score,text
negative,Those who laughed my #shubh_kartari on March 23rd may neglect #paap_kartari also later this year. Hummm
positive,"BaanStambh on Shore of Somnath ! Built 1500+ yrs back, It has inscription saying that there is no land mass between this point & Dakshin Dhruv - South Pole ??????????? ?????? ????? ?????? ?????? ????????????? Today we find it is true & West discovered Antartica only in 1820"
neutral,"While 40 million Americans filed for unemployment during the #coronavirus pandemic, billionaires saw their net worth increase by half a trillion dollars"
neutral,Latest Bollywood Love Songs 2020 - Arijit Singh Neha Kakkar vs Atif Aslam -Hindi Romantic Songs 2020
neutral,"@akshaykumar गुरू जी   
Most #Followers  Actor in #SocialMedia
#TodayCheck
#Bollywood #HighestPaidAsiaActor .जयगुरूदेव

1 : #Twitter                        38 Million
2 : #Instagram                  43 Million
3 : #Fac"
positive,"I wish we had more like Kangana queen in Bollywood
Industry would have been so progressive  thanks  to #sonunigam #ARRahman #teamkanganaranaut #KanganaRanawat #queenkangana #koenamitra #ishkaranbhandari #SubramanianSwamy"
positive,I will become a bollywood star!
positive,Bollywood dramas are so dramatic the way they act is so entertaining pic.twitter.com/vzgiMLOrsQ
negative,@republic I don't like to use abusive language but ******some for Karan Johar and his team! they can stoop to any level for success and money! they don't have a conscience! Don't give up on justice for SSR and bollywood with Aneel Mussarat ! Thank you Arn
negative,Appse etni ummid nehi thi jo appne ekbhi baat bollywood nexas ke liye bate nehi ki hum log to than liya in nexasism khtom korenge koi bahar ayee or nehi ayaa jindegime rakha kya ha sirf zina?
negative,"Yes Arnab 
This is a war against bollywood.
I personally stopped watching the nepo kids movie. Public has made them stars and now public will get them on roads.
Rightly said it's a movement for SSR pic.twitter.com/uTkCrf9E6y"
negative,He is a bollywood movie producer and like he has ruined many lives....that guy is an a§§hole
negative,These types are called “leeches” always beating chest in the name of others- like Delhi govt army martyrs doctors Private businesses their own moron bhakts..u will not see any one lower than these two jokers except Bollywood celebrities who boot lick b’cos of Panama
negative,this is what Bollywood teaches everything can be sold. https://twitter.com/atulahuja_/status/1288185089357000704 …
negative,Why we need police department like @MumbaiPolice ? It is better not to have one. The are like bollywood film police who are always late at crime scene. Good for nothing..#CBIIvestigationForSushant
positive,People originating from PeshawarPakistan rock in Bollywood and they throw son of the soil like SSR. JUSTICE FOR SSR. CBI PROBE FOR SSR.
neutral,Bazaar (Remix) | Afsana Khan Ft Himanshi Khurana | Yuvraj Hans | My Circ... https://youtu.be/Hk2WdBoipjk  via @YouTube @QueenDesiMa @realhimanshi @Speed_Records #yuvrajhans #afsanakhan @YouTube #bollywood
negative,Outside your freakin jurisdiction....stay off Bollywood
negative,Sushant Singh Rajput Death: Karan Johar summoned by Mumbai Police to record statement : Bollywood News – Bollywood Hungama https://www.todaynewsindia.co.in/sushant-singh-rajput-death-karan-johar-summoned-by-mumbai-police-to-record-statement-bollywood-news-bollywood-hungama/ …
negative,Sushant is more cuter than alia dumb girl even every child is cute  bollywood mafia show that there child are cute actually they want to set their future
positive,My way of thinking abt bollywood is v good i always like rajkumar rao more than varun even if he did side roles coz he is superb but swara is not a lead was just a slang on her coz she passes bad statements For me student of the year is nt a big movie rather one with content is.
negative,Idiot Komal kitne pase khayai hai. Bollywood mafia de tera review tere pas hi rakh. https://twitter.com/komalnahta/status/1286722377267568641 …
negative,Bollywood is open ground where everyone need to appease everyone to be in the limelight. Rahman believes his music will do that. But in some of his songs voice is suppressed. He need to give importance to lyrics which enhances the life of a song.
positive,Now Playing Thankyou #sunriseradio #sunriseradiouk #sunriseradiogold @sunriseradiouk #bollywood #bhangra #classichits
positive,We love you @Official_Arnab_  Arnab you are our glimmer of hope for #justiceforSushanthSinghRajput We love your passion behind this movement to seek justice for such an incredibly talented human being. We all know by now that Sushant was clearly murdered. Let the truth be told.
negative,The toxic of Bollywood doesn’t deserve a talent called #Rahman #ARRMeansTalenthttps://twitter.com/arrahman/status/1287337344345858051 …
neutral,"Chor bhare pade hain bollywood mai 

https://youtu.be/g-TlsmwEWz8 

For more on song theft check desi megamind 2.0 on YouTube."
negative,J Case #NIA ko de do kyuki Bollywood mafia or Under world ka connection dono ka kaam ho jaega
negative,Haaa haaa..kangna ko bollywood cchor k politics me aa jana chahiye..jhoot bol k popularity leni aati hai... https://twitter.com/taapsee/status/1287421463188795393 …
negative,He is the boss of bollywood suicide gangsters ..... won't be surprised to see him in a sari one day... this 6er is disgusting
neutral,only bollywood ones not english
neutral,oha ben en son lise 2de bollywood izledim ve biraktim hsjsjsjshsk ama talaash favorim
negative,Why Karan Johar is still not questioned. He is the original movie mafia. Once he told Kangana Ranaut to leave bollywood.. Is bollywood his father's property?? #JusticeForSushant #KanganaRanawat
negative,"toddlers and tiaras having these white kids in a texas glitter girl ""bollywood"" pageant and the moms calling saris saras pic.twitter.com/946IEv72jY"
negative,Sara bollywood uske piche pdaa tha sara ka sara. Kyu na ek baar @Bollywood ki investigation #NIA k karwai jae bhout Gnd macha hai yaha
neutral,As Sunil Shetty famously asked in a Bollywood movie “aapka right ya mera right”? 
positive,Old Hindi Songs Mashup | Bollywood Unplugged Song Cover | Feat. Milee Do... https://youtu.be/hPuHfVghjeU  via @YouTube
negative,Well I now see liberals saying Antifa is Trumps America... and I wonder why it was Bushs America or Obama’s america....
negative,Haan ummid bhi kam rehti hai Bollywood se.. 
negative,We can't accept this Bitter Truth It seems a Nightmare to me still now from 14th June It's a Black Day not only for #Bollywood but also for us the Unfortunate Indians who couldn't keep this 'GEM OF OUR NATION' safely Lost him so early So Pathetic Ending Of A True Dreamer
negative,everyone wants to be in Bollywood and despises not being fair. Civilizational Darwinism. Accept. Or Move away.
negative,"How can bollywood insult the legend 
https://swarajyamag.com/insta/there-is-a-whole-gang-working-against-me-in-bollywood-says-ar-rahman …"
negative,GOI should relieve Mumbai Police of this burdensome investigation to avoid being in the crossfire between the Bollywood cabal and common man
positive,"Dil bechara movie is very osm.
Dil bechara movie is motivated.
I miss you Sushant Singh Rajput
@Cooltechvishal @itsSSR @foxstarhindi @TSeries @bollywood_life @ETCBollywood"
negative,I never knew fattu's & beggers but found all of them in bollywood...
negative,Don't use the word liberal. You are a liberal. Keep fighting the Bollywood mafia. Stay cool. Truth ultimately prevails they will not be able to silence you.
negative,"Wahiyaat film. Bhejo jahan bhejna hai. Zara bahar walo se indian cinema par opinion puchh kar dekho hagg denge wo tum kogo ke muh par. Aisi to image hai tmhre gandu bollywood ki. Aur bhejo sadi hui films international film festival me. Paise mil gye hnge zoya aktar se. 
#CBI4SSR"
negative,no more parties in bollywood
positive,63+ Glamorous Photos of #Samantha Akkineni #bollywood https://bit.ly/2xKc0AB  #teluguactress
negative,That is a question us Indians also ask Bollywood.
negative,Couldn’t even watch till the end..This is the least we can do for you Susant..fight for justice.shame on those who call Bollywood their family and didn’t even feel like lightening a candle for him
negative,It has changed my perspective too. Such a disappointment on Bollywood film industry.  Do the criminals realise that there is one most powerful above them? God watches over their murders and metes out justice! It will come sooner then expected. OM!
negative,Well we don't know when the system will change..but one thing for sure..she shaken up the nation..now I feel in 100 years of Bollywood we had dancing queens legendary actresses and so called female superstars.but with #KanganaRanaut presence they all seems like Only poster girls
negative,"Hollywood comes out with brilliant art because they love art

Bollywood and all other Indian scrap Woods like Kollywood Mollywood Tollywood come out with Stereotypes because the driving force is illegal money funneled through Pak ISI & terrorists

Only difference hey.."
negative,When he was alive nobody cared about him and few only were going for his movies but now everyone is sharing pictures and stories as if they never missed a chance to watch him on Big screen. #Hypocrisy #SushantSinghRajput #DilBecharaDay #SSRDidntCommitSuicide #Bollywood
negative,From today.. Rip bollywood.. Never gonna watch any bollywood movie.
negative,pata nai kya chal raha hai SSR ke jane k baad it seems very tuff to trust anyone from bollywood.. koi bhi aata hai na to shak sa hota hai that its not real kuch personal agenda leke aaya hoga
positive,"We celebrate 18 years of ANDAZ Sat. July 25th 9 to midnight PT at http://twitch.tv/anjaliandthekid .

#bhangra #bollywood #filmi #urbandesi #desibass #desirappic.twitter.com/5RktEGEt8r"
neutral,Like as Bollywood actor please
negative,"Many of bollywood stars may don't where is Kazinga national park and where is Assam and what's happening in Assam know..
All making money in web series for Netflix"
neutral,Are u from bollywood ?!!
neutral,Watch Singh is Bliing (2015) online https://watchonlinemoviesinhd.com/watch-dhamaal-2007-online-in-hd/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost … #bollywood #bollywoodmovie #fullhd #fullmovie #hdmovie #onlinemovie #watchonline
negative,"Kahi lootan 

Wah @sambitswaraj  poojan or soojan ka keya mel kiya hai BC politics k liye poojan ko soojan se jod diya abe fuddu hum Indian logo k liye soojan sunte he ja to aage ka ja pichwada he dimag me aata hai idiot "
positive,@republic the only guy who can fight this is arnab !!!! Leave politics apart but this case has to go to CBI Bhai u cant leave this
negative,Whites seem to split down the middle on politics etc while other races are better at sticking together and voting as a unit
negative,I told this girl to talk dirty to me on DMs. Now we are discussing about Indian politics.
negative,Staying away from politics has cost a lot.
negative,Pappu Uncle it's our Respected Military who said not even a centimeter was lost to China. How can a person who can't respect this country's Military force be called even an Indian?? Shameful Creature Senseless comments.Why you are even in Politics? You shod go and educate urslf
positive,Loved this podcast. So good to see you two founders coming back and discussing Indian and American politics. Well done
positive,"Can only laugh at you 
BJP has 4  seats from Telangana where scamgress is wiped out
Overall in south India BJP has higher seats than scamgress 
Infact Telugu states have kicked out scamgress 
They very well know that congress = cancer of Indian politics"
negative,And so pray what is Indian...floods n hunger n joblessness n inflation n being homeless. We r so fucking busy with throwing muck and playing politics that we don’t get it ever. https://twitter.com/shaziailmi/status/1287577469260713984 …
negative,"I would have been in politics but i freaking hate the Indian media circus! 
They are ALL paid propagandist. They will never ever highlight someone's good work all they care about is sensationalising their stories and gaining TRP at the cost of selling their soul to devil !"
negative,"Don't know about USA politics 
But in Indian political context
Left ideology of India is surely loosing the middle ideology people !!! https://twitter.com/elonmusk/status/1287818109651431427 …"
