text,score
#प्रेसकॉन्फ्रेंस में @ChouhanShivraj EXCLUSIVE- आज रात 8 बजे #PCwithChitra में 2019 में @narendramodi की जीत का… https://t.co/NhPyAt8qlW,positive
RT @awasthis: Pls do watch @abpnewstv for the #RepublicDay coverage with @chitraaum n me!! ज़रूर देखें गणतंत्र दिवस परेड की सबसे विस्तृत और…,positive
"⁦@abpnewshindi⁩ EXCLUSIVE

प्रियंका गांधी के कदम को 2019 से जोड़कर नहीं देखा जाना चाहिए

⁦@AmitShah⁩ ने ⁦… https://t.co/xolfmCczm5",positive
"शाम 7 बजे @abpnewshindi पर @ChouhanShivraj EXCLUSIVE-

सवर्णों ने MP हराया, 2019 में जीत दिलायेंगे।

@BJP4India के… https://t.co/tLejWyauoz",positive
Shukriya Mayank :) https://t.co/1vuCnivLkf,positive
@pushpakg @RDXThinksThat @manaman_chhina True! True! Kahani Ghar Ghar ki...,positive
@RDXThinksThat @manaman_chhina Ha! Ha! Ha! Kahani (Fauji) Ghar Ghar ki...😄😀,positive
"कुछ इतिहासकार राजा ललितादित्य की तुलना `Alexander the Great' से करते हैं, कुछ का मानना है कि वो तो उससे कहीं अधिक स… https://t.co/2zezJAPmpJ",positive
"RT @smitaprakash: @gauravcsawant abhi idhar koi sea nai hai India Pak kay darmiyaan, please janta ko confuse mat karo. Already matha garam…",positive
@peppyprasun Ha!  Ha! Bhai reporter hoon. Khush hoon:)),positive
"#CCS. What will be India's Comprehensive National Response? Not just tactical action. respond as a nation

सच पूछो… https://t.co/E1rqdkQLI3",positive
"@shivanginipatha Patrakarita hi chalti rahe, bhaut hai :-)",positive
@ramanuj_r @ankitjain2191 :) dhanyavaad,positive
@a_truthsayer Ha! Ha! Kaash! woh subah kabhi toh aayegi....,positive
"एक पांव रखता हूं, हज़ार राहे फूट पड़ती हैं। @PiyushGoyal on the Budget - on the road to make a strong India.… https://t.co/tdXPweoQTG",positive
@ravigm3 @shekhar19541 Dhanyavaad :),positive
"May God bless them both Ankit ji. Ishwar dono ko sadaiv saphal, saksham, swasth aur shatayu rakhen. Aum! https://t.co/XMiuTeeX2b",positive
@kamalKantmishra dhanyavaad :),positive
@DrJwalaG Dhanyavaad :),positive
"Vaishnav Jan Toh Tene Re Kahiye Je...Peer Paraye Jaane Re...

https://t.co/R5eAPLSgwo do listen. And share",positive
@AshishSinghLIVE @AdityaRajKaul Hi rockstar! Wish u all the best. Ghar wapsi ki shubh kamnayen.,positive
Ha ha ha ha ha ha ha ha ha ha ha https://t.co/oAUg94Af3K,positive
RT @DuniyaTak: कंगाली की कगारपर पाकिस्तान.क्या भारत को करनी चाहिए पाक की आर्थिक मदद? @duniyatak पर @gauravcsawant के साथ.. PLEASE SUBSCRIBE…,positive
"This is hilarious!!! 🤣🤣
Election Tak : कहां बीजेपी सांसद भाषण देते रहे और हेलीकॉप्टर छोड़कर चला गया ? via… https://t.co/sf1xnijO2A",positive
"RT @aajtak: लोकसभा तारीख़ों की घोषणा हो चुकी है और पाटीदार नेता @HardikPatel_  कांग्रेस ज्वाइन करने जा रहें है, उनसे Exclusive बात की हमारी…",positive
"RT @arvindojha: Super Exclusive- बुलंदशहर हिंसा का सीसीटीवी फुटेज, इंस्पेक्टर सुबोध सिंह की हत्या से पहले का सीसीटीवी फुटेज...देश ने अब तक…",positive
अहमदाबाद में बेटा बना संन्यासी तो फूट-फूट कर रोए मां बाप EXCLUSIVE | New... https://t.co/RxCaNaBoPm via @YouTube,positive
RT @newstakofficial: जब गुजरात के सीएम रुपानी ने सुनाई अटल की पंक्तियां EXCLUSIVE @anjanaomkashyap @gopimaniar @vijayrupanibjp #AtalBihariV…,positive
अहमदाबाद में 1200 नर्स कर रही हैं कौन सी ट्रेनिंग? देखें ये EXCLUSIVE VI... https://t.co/J9ZWoFURhr via @YouTube,positive
"सूरत में लगे Aam Aadmi Party के पोस्टर, लिखा गया आम आदमी के डर से आनंदीबेन घर पर https://t.co/EV6kZfgdey",positive
#ModiInAmerica he have a style to win people's heart.... मेरे देशवासी जीन होने हजारो कि.मी दूर रह कर हमारे देश कि ईज्जत को बढाया हे।,positive
"RT @RifatJawaid: Gr8 lines by my lovely colleague @ShamsTahirKhan- अभी शम्स (सूरज) नहीं डूबा ज़रा सी शाम होने दो""
मैं खुद लौट जाउंगा मुझे …",positive
@ArvindKejriwal अभी तो ये अंगडायी हे आगे ओर लडाय हे। all the best for 2014.,positive
"RT @prashantjourno: Morning Wisdom : यूपी के मुख्यमंत्री को अजय सिंह बिष्ट की तरह नहीं , बल्कि @myogiadityanath की तरह काम करना चाहिए । इसी…",positive
सूत्रों के हवाले से ख़बर समाजवादी पार्टी के सांसद नरेश अग्रवाल आज बीजेपी join करेंगे। @BJP4India @AmitShah @PMOIndia,positive
