POS_TAG ID POS NEG LIST_OF_WORDS
a 26601 0.0 0.0 धीमा,मंद,हलका,हल्का,महीन,मन्द
a 4486 0.0 0.0 उठा,उभरा,उभड़ा,उभारदार,उभाड़दार
a 6868 0.0 0.0 क़ानूनी,कानूनी,विधिक
a 31808 0.0 0.0 अवैध,नियमविरुद्ध,अमान्य,अविधिमान्य,गैरकानूनी,ग़ैरक़ानूनी,ग़ैरवाजिब,नाजायज़,अवैधानिक
a 13080 0.0 0.0 हराम,निषिद्ध
n 13023 0.0 0.0 फाँसी
n 6730 0.0 0.0 फेर-बदल,फेरबदल,फेर-फार,फेरफार,परिवर्तन,रद्दोबदल,अदल-बदल,अदलबदल,अदली-बदली,अदलीबदली,अपवर्तन
a 16798 0.0 0.0 कुपात्र,अपात्र,अनधिकारी,अनर्ह,अभाजन
a 1180 0.0 0.0 अपठनीय,अपठ्य,अपाठ्य,अपट्ठमान
a 26678 0.0 0.0 स्वाभाविक,स्वाभावगत
a 9071 0.0 0.0 अंगीकृत,अपनाया,स्वकृत,परिग्रहीत,गृहीत,स्वीकृत,स्वांगीकृत
a 161 0.0 0.375 औरस
a 2358 0.0 0.0 अग्र,अगला,अग्रवर्ती,अग्रिम,पूर्व,सामने_का,अगाऊ
a 6480 0.25 0.0 मर्यादित,संयत
n 27992 0.0 0.0 वाकआउट,वाकऑउट,वाक_आउट,वाक_ऑउट,वाक-आउट,वाक-ऑउट
n 3162 0.125 0.125 अवहेलना,हुक्म_उदूली,अवज्ञा,अपालन,अनसुना,अनसुन
n 3482 0.0 0.0 जुगाली,पागुर
n 13217 0.0 0.0 रास
n 14433 0.0 0.0 पुनरावेदन,अपील
a 19113 0.0 0.25 त्रिपद,त्रिपाद
a 1325 0.625 0.0 तार्किक,तर्की
a 16125 0.125 0.0 प्रसारित
n 12965 0.25 0.0 संगरोध
n 17515 0.0 0.25 अनुपालन
n 7518 0.0 0.0 सहयोग,सहभाग,सहयोगिता,सहकारिता
n 6572 0.0 0.0 शौकिया
a 7100 0.5 0.0 लंबा,लंबोतरा,बड़ा
a 23578 0.0 0.0 चपटा,चिपटा
a 34685 0.0 0.125 लंबा,लंबोतरा,बड़ा
a 29681 0.0 0.0 लंबा,लंबोतरा,बड़ा
a 23483 0.0 0.875 ढीला
n 10011 0.0 0.0 वकालत
n 20191 0.0 0.0 पृष्ठांकन
n 25644 0.0 0.0 प्रतिनिधित्व
