text,score
"ध्वन्यात्मक,ध्वनिमय,ध्वनि_स्वरूप",0
"नारकीय,नारकिक,नरकीय",-1
महानगरीय,0
"वाद्ययंत्र,वाद्य_यंत्र,बाजा,वाद्य,साज़,साज,वादित्र",1
"चेहरे_का,चेहरा_संबंधी",0
"विषाणुजनित,विषाणुज",0
"परमाणविक,ऐटमी",0
महाद्वीपीय,0
"आगामी,भविष्य_कालीन,संभावित,भविष्णु,अगला,भाविता,भावी,भव्य,अगत्तर",1
"काम,कामेच्छा",0
"समुद्री,समुद्रीय,दरियाई,सागरी,सागरीय,सामुद्रिक,सैंधव,सैन्धव,सिंधव,सिन्धव",0
"पहाड़ी,पर्वत-वासी,पर्वत_वासी,पर्वतीय,पर्वती",1
"स्तनीय,स्तन्य",0
सिद्ध,0
"बुद्धिमान,अक़्लमंद,अकलमंद,समझदार,होशियार,दिमागदार,अक्लमंद,दानिशमंद,दानिशमन्द,मनीष,जहीन,ज़हीन,ज़ेहनदार,जेहनदार,दिमाग़दार,दिमाग़ी,दिमागी,बुद्धिमान_व्यक्ति,अक़्लमंद_व्यक्ति,चतुर_व्यक्ति,समझदार_व्यक्ति,अक़लमंद_व्यक्ति",1
"सांस्कृतिक,संस्कृति-संबंधी",0
"सूक्ष्मतम,अति_सूक्ष्म,असगर,असग़र",0
प्रशासनिक,1
"मनोविज्ञानिक,मनोवैज्ञानिक,मनोविज्ञानी",0
"फ़िदा,फिदा",0
अग्निवर्धक,-1
बुद्धिवादी,1
"चाँदनी,अँजोरी,चांदनी,अंजोरी,अंजोरा,अँजोरा",0
"स्वदेशीय,देशी,देसी,स्वदेशी,देशीय,देशज",0
कैथोलिक,1
"रूमानियाई,रोमानियाई",0
सुरंग,0
"अमरीकी,अमेरीकी",0
"भैंस,महिषी,अनूप",0
"उत्तरीअमरीकी,उत्तरी_अमरीकी,उत्तरी-अमरीकी,उत्तरीअमेरिकी,उत्तरी_अमेरिकी,उत्तरी-अमेरिकी,उत्तरीअमरीका_वासी,उत्तरी_अमरीका_वासी,उत्तरी-अमरीका_वासी,उत्तरीअमेरिका_वासी,उत्तरी_अमेरिका_वासी,उत्तरी-अमेरिका_वासी",0
विषुवतीय,0
विषुवतीय,0
उदरीय,0
"प्रायोगिक,प्रयोगात्मक",1
"आनुवंशिक,वंशागत,वंशानुक्रमिक,पैतृक,अनुवांशिक",0
